Index,MJKDZ_Temp,MJKDZ_Humid,MJKDZ_Press,Adafruit_Temp,Adafruit_Humid,Adafruit_Press,DHT11_Temp,DHT11_Humid
1,22.45,59.10,1002.32,22.45,59.07,1002.35,21.10,68.50
2,22.46,59.12,1002.32,22.45,59.31,1002.35,21.20,70.90
3,22.44,59.28,1002.33,22.44,59.77,1002.32,21.20,70.90
4,22.43,59.33,1002.35,22.42,59.28,1002.32,21.20,70.90
5,22.43,59.50,1002.33,22.42,59.44,1002.33,21.20,70.90
6,22.42,59.78,1002.35,22.41,59.68,1002.33,21.20,70.90
7,22.40,59.47,1002.32,22.41,59.54,1002.33,21.20,70.90
8,22.39,59.34,1002.32,22.39,59.37,1002.34,21.20,70.90
9,22.38,59.34,1002.33,22.37,59.32,1002.32,21.20,70.90
10,22.37,59.70,1002.34,22.37,59.61,1002.33,21.20,70.80
11,22.38,60.05,1002.33,22.38,60.28,1002.31,21.20,70.90
12,22.37,59.59,1002.31,22.36,59.73,1002.32,21.20,70.90
13,22.39,59.92,1002.34,22.37,59.77,1002.32,21.20,70.90
14,22.38,59.81,1002.33,22.37,59.71,1002.33,21.20,71.00
15,22.36,59.53,1002.32,22.35,59.45,1002.29,21.20,71.00
16,22.36,60.42,1002.30,22.36,60.50,1002.30,21.20,71.00
17,22.37,60.07,1002.35,22.36,60.14,1002.32,21.20,71.00
18,22.37,59.64,1002.35,22.36,59.81,1002.31,21.20,71.10
19,22.36,59.59,1002.33,22.34,59.53,1002.33,21.20,71.10
20,22.34,59.51,1002.34,22.33,59.60,1002.36,21.20,71.10
21,22.34,59.87,1002.34,22.32,59.80,1002.31,21.20,71.00
22,22.34,60.76,1002.32,22.34,60.63,1002.34,21.20,71.00
23,22.34,59.87,1002.32,22.33,59.95,1002.33,21.20,71.20
24,22.34,59.74,1002.31,22.33,59.73,1002.32,21.20,71.20
25,22.35,59.75,1002.29,22.34,59.75,1002.32,21.20,71.20
26,22.33,59.58,1002.32,22.34,59.73,1002.29,21.20,71.10
27,22.34,59.77,1002.34,22.33,59.71,1002.29,21.20,71.10
28,22.34,59.49,1002.31,22.33,59.49,1002.30,21.20,71.10
29,22.35,59.60,1002.33,22.34,59.62,1002.31,21.20,71.00
30,22.35,59.72,1002.32,22.33,59.57,1002.29,21.20,71.00
31,22.34,59.84,1002.30,22.33,60.10,1002.29,21.20,71.00
32,22.32,60.04,1002.32,22.32,60.16,1002.30,21.20,71.10
33,22.32,59.75,1002.29,22.31,59.65,1002.26,21.20,71.10
34,22.32,60.22,1002.29,22.31,59.99,1002.30,21.20,71.10
35,22.34,60.03,1002.31,22.34,60.08,1002.33,21.20,71.20
36,22.34,59.83,1002.28,22.33,59.83,1002.33,21.20,71.30
37,22.33,59.60,1002.32,22.33,59.58,1002.32,21.20,71.30
38,22.35,59.52,1002.32,22.34,59.54,1002.33,21.10,71.10
39,22.33,59.49,1002.34,22.33,59.49,1002.31,21.20,71.10
40,22.34,60.00,1002.31,22.34,59.93,1002.31,21.10,71.00
41,22.35,60.12,1002.32,22.35,60.02,1002.33,21.20,71.10
42,22.35,59.86,1002.32,22.34,59.90,1002.31,21.20,71.20
43,22.36,59.72,1002.34,22.35,59.71,1002.34,21.20,71.10
44,22.36,59.65,1002.31,22.35,59.61,1002.32,21.20,71.10
45,22.35,59.52,1002.30,22.35,59.50,1002.32,21.20,71.10
46,22.35,59.59,1002.31,22.35,59.66,1002.31,21.20,71.00
47,22.36,59.88,1002.32,22.34,59.89,1002.32,21.20,71.00
48,22.35,59.59,1002.35,22.35,59.66,1002.32,21.20,71.00
49,22.36,59.76,1002.31,22.36,59.69,1002.32,21.20,71.00
50,22.36,59.98,1002.33,22.36,59.94,1002.33,21.20,71.00
51,22.38,59.66,1002.36,22.37,59.62,1002.33,21.20,71.00
52,22.36,59.47,1002.33,22.34,59.40,1002.31,21.20,71.00
53,22.34,59.44,1002.32,22.32,59.40,1002.33,21.20,70.90
54,22.34,59.65,1002.34,22.33,59.62,1002.32,21.20,70.90
55,22.30,59.75,1002.30,22.29,59.74,1002.31,21.20,70.90
56,22.29,59.57,1002.34,22.28,59.57,1002.30,21.20,70.80
57,22.29,59.56,1002.33,22.29,59.55,1002.35,21.20,70.80
58,22.29,59.73,1002.34,22.27,59.65,1002.33,21.20,70.80
59,22.28,59.52,1002.34,22.27,59.53,1002.34,21.20,70.80
60,22.27,59.47,1002.33,22.26,59.47,1002.34,21.10,70.80
61,22.27,59.78,1002.34,22.26,59.75,1002.33,21.10,70.80
62,22.27,60.09,1002.34,22.26,59.92,1002.30,21.10,70.80
63,22.27,59.75,1002.32,22.26,59.68,1002.33,21.10,70.80
64,22.26,59.72,1002.37,22.25,59.63,1002.34,21.10,70.80
65,22.25,59.95,1002.35,22.25,60.59,1002.34,21.10,70.80
66,22.26,60.00,1002.33,22.24,59.93,1002.33,21.10,70.80
67,22.25,59.74,1002.34,22.24,59.73,1002.35,21.10,70.90
68,22.26,60.00,1002.32,22.26,60.00,1002.32,21.10,70.80
69,22.26,60.21,1002.32,22.25,60.42,1002.34,21.10,70.90
70,22.26,60.09,1002.33,22.25,60.14,1002.34,21.10,70.90
71,22.26,59.79,1002.32,22.26,59.73,1002.30,21.10,70.90
72,22.27,59.81,1002.34,22.26,59.76,1002.36,21.10,70.90
73,22.25,59.74,1002.33,22.25,59.71,1002.35,21.10,70.90
74,22.24,60.21,1002.36,22.24,60.17,1002.33,21.10,70.90
75,22.25,59.74,1002.34,22.24,59.95,1002.35,21.10,70.90
76,22.24,60.00,1002.34,22.23,60.38,1002.35,21.10,70.90
77,22.23,59.96,1002.32,22.23,59.90,1002.33,21.10,70.90
78,22.23,60.24,1002.37,22.22,60.04,1002.36,21.10,70.90
79,22.21,60.34,1002.31,22.21,60.29,1002.34,21.10,70.90
80,22.21,60.67,1002.35,22.21,60.99,1002.38,21.10,71.00
81,22.22,60.61,1002.36,22.21,60.80,1002.39,21.10,71.00
82,22.21,60.07,1002.37,22.20,60.01,1002.36,21.10,71.20
83,22.19,59.95,1002.36,22.19,59.98,1002.37,21.10,71.10
84,22.20,60.20,1002.36,22.20,60.28,1002.39,21.10,71.10
85,22.20,59.90,1002.37,22.20,60.14,1002.40,21.00,71.20
86,22.21,60.20,1002.38,22.21,60.14,1002.41,21.10,71.00
87,22.21,60.31,1002.38,22.20,60.38,1002.35,21.00,71.10
88,22.19,59.88,1002.37,22.18,59.85,1002.39,21.00,71.20
89,22.19,59.74,1002.39,22.18,59.73,1002.35,21.00,71.10
90,22.19,60.09,1002.37,22.18,60.02,1002.38,21.00,71.00
91,22.17,60.25,1002.38,22.16,60.12,1002.41,21.00,71.10
92,22.16,59.90,1002.41,22.16,60.11,1002.39,21.00,71.10
93,22.17,60.23,1002.40,22.17,60.21,1002.40,21.00,71.10
94,22.17,60.09,1002.41,22.16,60.04,1002.38,21.00,71.10
95,22.16,60.78,1002.37,22.15,60.65,1002.40,21.00,71.10
96,22.15,60.49,1002.43,22.14,60.37,1002.41,21.00,71.20
97,22.14,60.16,1002.42,22.13,60.14,1002.40,21.00,71.20
98,22.15,60.43,1002.42,22.14,60.38,1002.38,21.00,71.20
99,22.15,60.42,1002.41,22.14,60.37,1002.40,21.00,71.30
100,22.15,60.09,1002.40,22.14,60.05,1002.42,21.00,71.30
101,22.15,60.05,1002.39,22.14,60.21,1002.41,21.00,71.20
102,22.15,60.38,1002.46,22.13,60.38,1002.40,21.00,71.30
103,22.15,60.59,1002.42,22.14,60.51,1002.44,21.00,71.30
104,22.13,60.65,1002.42,22.13,60.52,1002.42,21.00,71.30
105,22.14,60.35,1002.43,22.14,60.23,1002.43,21.00,71.40
106,22.14,60.06,1002.41,22.13,60.04,1002.43,21.00,71.40
107,22.14,60.26,1002.43,22.13,60.25,1002.43,21.00,71.30
108,22.14,60.65,1002.43,22.13,60.45,1002.43,21.00,71.30
109,22.13,60.25,1002.43,22.12,60.19,1002.41,21.00,71.40
110,22.13,60.36,1002.43,22.13,60.54,1002.44,21.00,71.40
111,22.15,60.38,1002.42,22.15,60.35,1002.45,21.00,71.40
112,22.16,60.37,1002.46,22.16,60.42,1002.46,21.00,71.40
113,22.17,60.24,1002.43,22.17,60.20,1002.44,21.00,71.40
114,22.17,60.43,1002.45,22.17,60.40,1002.42,21.00,71.40
115,22.17,60.34,1002.45,22.16,60.42,1002.44,21.00,71.40
116,22.17,60.07,1002.43,22.16,60.06,1002.45,21.00,71.40
117,22.16,60.10,1002.45,22.15,60.07,1002.45,21.00,71.40
118,22.16,60.23,1002.45,22.16,60.40,1002.45,21.00,71.40
119,22.17,60.09,1002.45,22.16,60.07,1002.45,21.00,71.40
120,22.15,60.05,1002.43,22.14,60.02,1002.42,21.00,71.40
121,22.14,60.04,1002.43,22.14,60.18,1002.45,21.00,71.30
122,22.14,60.10,1002.43,22.13,60.26,1002.45,21.00,71.30
123,22.12,60.14,1002.44,22.12,60.10,1002.46,21.00,71.30
124,22.13,60.52,1002.41,22.13,60.47,1002.44,21.00,71.20
125,22.14,60.26,1002.47,22.14,60.23,1002.46,21.00,71.30
126,22.15,60.37,1002.44,22.15,60.35,1002.47,21.00,71.30
127,22.16,60.10,1002.45,22.14,60.04,1002.44,21.00,71.30
128,22.15,60.21,1002.47,22.15,60.18,1002.45,21.00,71.30
129,22.16,60.36,1002.48,22.16,60.38,1002.47,21.00,71.30
130,22.17,60.36,1002.46,22.17,60.37,1002.45,21.00,71.40
131,22.18,60.19,1002.49,22.18,60.26,1002.45,21.00,71.40
132,22.20,60.20,1002.45,22.19,60.17,1002.46,21.00,71.40
133,22.20,59.95,1002.45,22.19,59.94,1002.46,21.00,71.40
134,22.20,60.00,1002.44,22.20,60.01,1002.43,21.00,71.40
